consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
y,487.17131,space,46.0983,space,24.722005,s,15.524815,d,5.429455,space,11.957405,s,1,1.3857,0,0,0,0,1,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,,s,,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.97224,0,1,1,1,1,,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,1.284665,0,2,2,2,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,s,,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,1.282555,0,3,3,3,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,d,,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,1.24067,0,4,4,4,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,s,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,1.52765,0,5,5,5,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,,,,,,,,,,,,,,images/55impossible.bmp,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,space,1.52271,s,1,1.46736,0,0,0,87,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,1.376125,0,1,1,77,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,,,,,,,,,,,,,,,,images/25impossible.bmp,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.393835,0,2,2,107,1,5,,
,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5d77c0eb4a666c0019561a80,60464aa77d23360d59375e79,2021-03-08_17h06.53.175,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,1.01375,0,3,3,29,1,2,,
