consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
y,2.550635,space,23.98395,space,2.336535,s,4.40252,d,0.95998,space,5.07912,s,1,0.64969,0,0,0,0,1,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,,s,,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.6402,0,1,1,1,1,,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,0.99908,0,2,2,2,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,s,,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,1.85521,0,3,3,3,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,d,,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,0.63841,0,4,4,4,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,s,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.716625,0,5,5,5,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,,,,,,,,,,,,,images/44impossible.bmp,,,,,,,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,space,1.17436,s,0,0.718295,0,0,0,92,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,,,,,,,,,,,,,,images/69possible.bmp,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,0,0.94989,0,1,1,119,1,5,,
,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,,,,,,,,,,,,,,,,images/08impossible.bmp,,,,,,,,,,,,,,,,d,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.474845,0,2,2,8,1,1,,
,,,,,,,,,,,,,,,,,,,,,images/44possible.bmp,,,,,,,,,,,,,,,,images/44possible.bmp,,,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.468655,0,3,3,20,1,1,,
,,,,,,,,,,,,,,,,,,,,,images/22impossible.bmp,,,,,,,,,,,,,,,,images/22impossible.bmp,,,,,,,,,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,0.698165,0,4,4,3,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,,,,,,,,,,,,,,,,images/24impossible.bmp,d,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,0,0.854405,0,5,5,106,1,5,,
,,,,,,,,,,,,,,,,,,,,images/25impossible.bmp,,,,,,,,,,,,,,,,images/25impossible.bmp,,,,,,,,,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,0.576635,0,6,6,5,1,1,,
,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,,,,,,,,,,,,,,,,images/42possible.bmp,,,,,,,,,,,,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,0.520655,0,7,7,13,1,1,,
,,,,,,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,d,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.52529,0,8,8,22,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/08possible.bmp,images/08possible.bmp,images/08possible.bmp,images/08possible.bmp,,,,,,,,,,,,,,,images/08possible.bmp,,,,,,,s,possible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,0.71829,0,9,9,74,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,,,,,,,,,,,,,images/42possible.bmp,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,1.20799,0,10,10,109,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,,,,,,,,,,,,,images/08impossible.bmp,,,,d,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.155775,0,11,11,104,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/22impossible.bmp,images/22impossible.bmp,images/22impossible.bmp,images/22impossible.bmp,images/22impossible.bmp,,,,,,,,,,,,,,images/22impossible.bmp,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5e886b509c60bc4e238ca556,60464ab774ea5b0c7440afea,2021-03-08_16h02.36.024,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,2.240485,0,12,12,105,1,5,,
