consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,preview,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
y,1.00013,space,16.2772,space,10.304595,s,5.716525,d,6.308405,space,8.122885,s,1,0.593525,0,0,0,0,1,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,,s,,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.66321,0,1,1,1,1,,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,1.171415,0,2,2,2,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,s,,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,1.521905,0,3,3,3,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,d,,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,d,0,0.96739,0,4,4,4,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,s,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.716945,0,5,5,5,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,,,,,,,,,,,,,,images/25impossible.bmp,,,,,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,space,0.691965,d,0,0.687135,0,0,0,53,1,3,,
,,,,,,,,,,,,,,,,,,,,,,images/65impossible.bmp,images/65impossible.bmp,,,,,,,,,,,,,,,images/65impossible.bmp,,,,,,,,,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,d,1,0.48221,0,1,1,46,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,,,,,,,,,,,,,,,,images/42impossible.bmp,,,,,,s,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,d,0,0.36432,0,2,2,85,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,d,0,0.65218,0,3,3,63,1,3,,
,,,,,,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,d,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,d,1,0.563275,0,4,4,22,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,,,,,,,,,,,,,,,images/38impossible.bmp,,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,d,1,0.470045,0,5,5,90,1,4,,
,,,,,,,,,,,,,,,,,,,,,,images/22possible.bmp,images/22possible.bmp,,,,,,,,,,,,,,,,images/22possible.bmp,,,,,,,,,,,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,6,6,27,1,2,,
,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,s,0,1.517025,0,7,7,35,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,8,8,69,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,,,,,,,,,,,,,images/38impossible.bmp,,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,9,9,84,1,4,,
,,,,,,,,,,,,,,,,,,,,,images/03impossible.bmp,,,,,,,,,,,,,,,,images/03impossible.bmp,,,,,,,,,,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,10,10,6,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,images/05impossible.bmp,images/05impossible.bmp,images/05impossible.bmp,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,11,11,55,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,12,12,77,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,,,,,,,,,,,,,,,,images/42impossible.bmp,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,13,13,91,1,4,,
,,,,,,,,,,,,,,,,,,,,,,images/08possible.bmp,images/08possible.bmp,,,,,,,,,,,,,,,images/08possible.bmp,,,,,,,,,,,,,,d,possible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,14,14,32,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,,,,,,,,,,,,,images/42possible.bmp,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,15,15,109,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,images/25impossible.bmp,,,,,,,,,,,,,images/25impossible.bmp,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,16,16,101,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,,,,,,,,,,,,,,,images/42possible.bmp,,d,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,17,17,115,1,5,,
,,,,,,,,,,,,,,,,,,,,,,images/44impossible.bmp,images/44impossible.bmp,,,,,,,,,,,,,,,images/44impossible.bmp,,,,,,,,,,,,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,18,18,44,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,,,,,,,,,,,,,,images/69possible.bmp,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,19,19,119,1,5,,
,,,,,,,,,,,,,,,,,,,,,,images/24possible.bmp,images/24possible.bmp,,,,,,,,,,,,,,,images/24possible.bmp,,,,,,,,,,,,,,s,possible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,20,20,28,1,2,,
