consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,keyTraining.rt,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
y,74.966665,space,68.532,space,12.187885,s,19.53899,d,9.51331,space,8.645645,,0,0,0,0,0,1,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,,s,,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,1,1,1,1,,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,0,2,2,2,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,s,,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,3.32112,,,,,,,,,,,,,
,,,,,,,,,,,,s,0,0,3,3,3,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,d,,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,2.084465,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,0,4,4,4,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,s,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1.367125,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0,5,5,5,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,2.04992,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,images/42possible.bmp,images/42possible.bmp,,,,,,,,,,,,,,,,images/42possible.bmp,,,,,,,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,space,4.383545,s,1,1.27991,0,0,0,61,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,,,,,,,,,,,,,,images/55impossible.bmp,,,,,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,0,1.44717,0,1,1,87,1,4,,
,,,,,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,,,,d,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.49416,0,2,2,22,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,images/44possible.bmp,images/44possible.bmp,images/44possible.bmp,,,,,,,,,,,,,,,,images/44possible.bmp,,,,,,,,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,2.146,0,3,3,62,1,3,,
